param_hidden_layer_sizes,param_activation,param_batch_size,param_max_iter,mean_test_score,rank_test_score,mean_train_score
"(1,)",identity,50,200,-0.1684867974799582,325,-0.16657633247218678
"(1,)",identity,50,400,-0.1684867974799582,325,-0.16657633247218678
"(1,)",identity,50,800,-0.1684867974799582,325,-0.16657633247218678
"(3,)",identity,50,200,-0.15245817059944294,199,-0.1513801609412607
"(3,)",identity,50,400,-0.15245817059944294,199,-0.1513801609412607
"(3,)",identity,50,800,-0.15245817059944294,199,-0.1513801609412607
"(5,)",identity,50,200,-0.14534108751940672,142,-0.1438543901714881
"(5,)",identity,50,400,-0.14534108751940672,142,-0.1438543901714881
"(5,)",identity,50,800,-0.14534108751940672,142,-0.1438543901714881
"(7,)",identity,50,200,-0.14172876417054325,118,-0.1398887689271384
"(7,)",identity,50,400,-0.14172876417054325,118,-0.1398887689271384
"(7,)",identity,50,800,-0.14172876417054325,118,-0.1398887689271384
"(9,)",identity,50,200,-0.15458132613069392,214,-0.15137282579142325
"(9,)",identity,50,400,-0.15458132613069392,214,-0.15137282579142325
"(9,)",identity,50,800,-0.15458132613069392,214,-0.15137282579142325
"(11,)",identity,50,200,-0.13432237067466563,7,-0.13247602526956365
"(11,)",identity,50,400,-0.13432237067466563,7,-0.13247602526956365
"(11,)",identity,50,800,-0.13432237067466563,7,-0.13247602526956365
"(13,)",identity,50,200,-0.13869053501143544,82,-0.13696203337257368
"(13,)",identity,50,400,-0.13869053501143544,82,-0.13696203337257368
"(13,)",identity,50,800,-0.13869053501143544,82,-0.13696203337257368
"(15,)",identity,50,200,-0.13872965726533054,88,-0.13698516688176254
"(15,)",identity,50,400,-0.13872965726533054,88,-0.13698516688176254
"(15,)",identity,50,800,-0.13872965726533054,88,-0.13698516688176254
"(17,)",identity,50,200,-0.13728119611607664,52,-0.13530326069201304
"(17,)",identity,50,400,-0.13728119611607664,52,-0.13530326069201304
"(17,)",identity,50,800,-0.13728119611607664,52,-0.13530326069201304
"(19,)",identity,50,200,-0.13771839970931693,70,-0.1347910019417958
"(19,)",identity,50,400,-0.13771839970931693,70,-0.1347910019417958
"(19,)",identity,50,800,-0.13771839970931693,70,-0.1347910019417958
"(21,)",identity,50,200,-0.13433893929738577,10,-0.13254847569271822
"(21,)",identity,50,400,-0.13433893929738577,10,-0.13254847569271822
"(21,)",identity,50,800,-0.13433893929738577,10,-0.13254847569271822
"(1,)",identity,100,200,-0.2157950818738985,390,-0.2148997736611063
"(1,)",identity,100,400,-0.2157950818738985,390,-0.2148997736611063
"(1,)",identity,100,800,-0.2157950818738985,390,-0.2148997736611063
"(3,)",identity,100,200,-0.17525119764449926,349,-0.17506826661299638
"(3,)",identity,100,400,-0.17525119764449926,349,-0.17506826661299638
"(3,)",identity,100,800,-0.17525119764449926,349,-0.17506826661299638
"(5,)",identity,100,200,-0.16448048601590756,310,-0.16277152645092707
"(5,)",identity,100,400,-0.16448048601590756,310,-0.16277152645092707
"(5,)",identity,100,800,-0.16448048601590756,310,-0.16277152645092707
"(7,)",identity,100,200,-0.15218861304449852,196,-0.15075810732903433
"(7,)",identity,100,400,-0.15218861304449852,196,-0.15075810732903433
"(7,)",identity,100,800,-0.15218861304449852,196,-0.15075810732903433
"(9,)",identity,100,200,-0.1847583481710457,376,-0.1819372953041369
"(9,)",identity,100,400,-0.1847583481710457,376,-0.1819372953041369
