param_hidden_layer_sizes,param_activation,param_batch_size,param_max_iter,param_alpha,mean_test_score,rank_test_score,mean_train_score
"(1,)",identity,50,200,0.0001,-0.14391738242372748,25,-0.14355428323421793
"(1,)",identity,50,400,0.0001,-0.14471341018850598,117,-0.14347861883958876
"(1,)",identity,50,800,0.0001,-0.14460007208339098,101,-0.14345049036447705
"(3,)",identity,50,200,0.0001,-0.14600318001505302,308,-0.1455886447630163
"(3,)",identity,50,400,0.0001,-0.1466146723368968,431,-0.145102708261035
"(3,)",identity,50,800,0.0001,-0.14683420596748528,487,-0.1452100021303411
"(5,)",identity,50,200,0.0001,-0.14767441029604914,593,-0.1462293607991647
"(5,)",identity,50,400,0.0001,-0.14492246278704496,150,-0.1441231585052711
"(5,)",identity,50,800,0.0001,-0.14525474008347844,207,-0.14425826174380102
"(7,)",identity,50,200,0.0001,-0.1453399787626966,228,-0.14517989347162513
"(7,)",identity,50,400,0.0001,-0.14465348052829444,106,-0.1445264773802577
"(7,)",identity,50,800,0.0001,-0.14388704589263507,22,-0.14449854961542105
"(9,)",identity,50,200,0.0001,-0.1453861028401619,234,-0.1450656825126433
"(9,)",identity,50,400,0.0001,-0.144181427089861,41,-0.1442045579898463
"(9,)",identity,50,800,0.0001,-0.14428253737868477,55,-0.14447643937573024
"(11,)",identity,50,200,0.0001,-0.14660904405503739,429,-0.14579865829787383
"(11,)",identity,50,400,0.0001,-0.1447479686310132,126,-0.14461006478666177
"(11,)",identity,50,800,0.0001,-0.14485912646228588,138,-0.14450362920985602
"(13,)",identity,50,200,0.0001,-0.1460714366718988,322,-0.14558465316706193
"(13,)",identity,50,400,0.0001,-0.14591013546784296,290,-0.14509724037331334
"(13,)",identity,50,800,0.0001,-0.14591013546784296,290,-0.14509724037331334
"(15,)",identity,50,200,0.0001,-0.14397520109219109,30,-0.1446921122018828
"(15,)",identity,50,400,0.0001,-0.14441485996291206,70,-0.1447423627985763
"(15,)",identity,50,800,0.0001,-0.14441485996291206,70,-0.1447423627985763
"(17,)",identity,50,200,0.0001,-0.14422271893870356,46,-0.14417718067809068
"(17,)",identity,50,400,0.0001,-0.14364313422404296,10,-0.14366306271077817
"(17,)",identity,50,800,0.0001,-0.14364313422404296,10,-0.14366306271077817
"(19,)",identity,50,200,0.0001,-0.1447852745151924,131,-0.1446850959671185
"(19,)",identity,50,400,0.0001,-0.14496155946796352,153,-0.14468955665239297
"(19,)",identity,50,800,0.0001,-0.14496155946796352,153,-0.14468955665239297
"(21,)",identity,50,200,0.0001,-0.1444397916486642,75,-0.14461032125446383
"(21,)",identity,50,400,0.0001,-0.14510405364325968,184,-0.14414970847849032
"(21,)",identity,50,800,0.0001,-0.14510405364325968,184,-0.14414970847849032
"(1,)",identity,100,200,0.0001,-0.1493979427972275,729,-0.14792176207515645
"(1,)",identity,100,400,0.0001,-0.14376184211574158,15,-0.14361217491498854
"(1,)",identity,100,800,0.0001,-0.14435973110583983,64,-0.1437224868023107
"(3,)",identity,100,200,0.0001,-0.14767102170454088,591,-0.14756202595153212
"(3,)",identity,100,400,0.0001,-0.14674574098058313,466,-0.14582915317067088
"(3,)",identity,100,800,0.0001,-0.14567599290810557,268,-0.14561408189764397
"(5,)",identity,100,200,0.0001,-0.14801286534181185,620,-0.14718943905070664
"(5,)",identity,100,400,0.0001,-0.1467431787653029,465,-0.14499529713688994
"(5,)",identity,100,800,0.0001,-0.14575203434820705,275,-0.14482994930859633
"(7,)",identity,100,200,0.0001,-0.1468500680527261,491,-0.14550614498867806
"(7,)",identity,100,400,0.0001,-0.14639852497673053,382,-0.14463977884748158
"(7,)",identity,100,800,0.0001,-0.14508859393875992,179,-0.14428849464518506
"(9,)",identity,100,200,0.0001,-0.14735520227542803,556,-0.14628186695013726
"(9,)",identity,100,400,0.0001,-0.14538485198512316,233,-0.14474000138406412
"(9,)",identity,100,800,0.0001,-0.14473091204595215,119,-0.14523199221287103
"(11,)",identity,100,200,0.0001,-0.14667511243459863,447,-0.1464162533603141
"(11,)",identity,100,400,0.0001,-0.14552628112326002,257,-0.1455850205777931
"(11,)",identity,100,800,0.0001,-0.14529170549605108,217,-0.14520622355431034
"(13,)",identity,100,200,0.0001,-0.1480013683312716,618,-0.14630791780361974
"(13,)",identity,100,400,0.0001,-0.14595054599479462,297,-0.14515264808938375
"(13,)",identity,100,800,0.0001,-0.1460603898932717,317,-0.14520507432776517
"(15,)",identity,100,200,0.0001,-0.14701391617442552,506,-0.14631073526763455
"(15,)",identity,100,400,0.0001,-0.14466328284105762,109,-0.14498376421438294
"(15,)",identity,100,800,0.0001,-0.14519212662026337,198,-0.14482323259256713
"(17,)",identity,100,200,0.0001,-0.14516772983736137,192,-0.14523667064525048
"(17,)",identity,100,400,0.0001,-0.14462241684803573,103,-0.14426148368587827
"(17,)",identity,100,800,0.0001,-0.14388005698437856,21,-0.14417870020707074
"(19,)",identity,100,200,0.0001,-0.14500598237863502,163,-0.145289310489634
