param_hidden_layer_sizes,param_activation,param_batch_size,param_max_iter,mean_test_score,rank_test_score,mean_train_score
"(1,)",identity,50,200,-0.819616894663737,303,-0.8062953948003273
"(1,)",identity,50,400,-0.819824519359695,308,-0.8060375724426171
"(1,)",identity,50,800,-0.819824519359695,308,-0.8060375724426171
"(3,)",identity,50,200,-0.8159497973875668,208,-0.8031593462659108
"(3,)",identity,50,400,-0.8159497973875668,208,-0.8031593462659108
"(3,)",identity,50,800,-0.8159497973875668,208,-0.8031593462659108
"(5,)",identity,50,200,-0.816388100066268,221,-0.8030395375350027
"(5,)",identity,50,400,-0.816388100066268,221,-0.8030395375350027
"(5,)",identity,50,800,-0.816388100066268,221,-0.8030395375350027
"(7,)",identity,50,200,-0.8180344305216354,264,-0.8033245702863108
"(7,)",identity,50,400,-0.8180344305216354,264,-0.8033245702863108
"(7,)",identity,50,800,-0.8180344305216354,264,-0.8033245702863108
"(9,)",identity,50,200,-0.8180410640701232,267,-0.8030978149745511
"(9,)",identity,50,400,-0.8180410640701232,267,-0.8030978149745511
"(9,)",identity,50,800,-0.8180410640701232,267,-0.8030978149745511
"(11,)",identity,50,200,-0.8197070966909046,304,-0.8031961194718509
"(11,)",identity,50,400,-0.8197070966909046,304,-0.8031961194718509
"(11,)",identity,50,800,-0.8197070966909046,304,-0.8031961194718509
"(13,)",identity,50,200,-0.8183879496154864,285,-0.8030759365599008
"(13,)",identity,50,400,-0.8183879496154864,285,-0.8030759365599008
"(13,)",identity,50,800,-0.8183879496154864,285,-0.8030759365599008
"(15,)",identity,50,200,-0.8181419461989314,271,-0.8031874807012163
"(15,)",identity,50,400,-0.8181419461989314,271,-0.8031874807012163
"(15,)",identity,50,800,-0.8181419461989314,271,-0.8031874807012163
"(17,)",identity,50,200,-0.8196016140827693,300,-0.8032406899316648
"(17,)",identity,50,400,-0.8196016140827693,300,-0.8032406899316648
"(17,)",identity,50,800,-0.8196016140827693,300,-0.8032406899316648
"(19,)",identity,50,200,-0.8173761349136368,249,-0.8031213780041192
"(19,)",identity,50,400,-0.8173761349136368,249,-0.8031213780041192
"(19,)",identity,50,800,-0.8173761349136368,249,-0.8031213780041192
"(21,)",identity,50,200,-0.8171712232985222,240,-0.8035118131410179
"(21,)",identity,50,400,-0.8171712232985222,240,-0.8035118131410179
"(21,)",identity,50,800,-0.8171712232985222,240,-0.8035118131410179
"(1,)",identity,100,200,-0.8254515553990535,365,-0.814169906994425
"(1,)",identity,100,400,-0.8230437369813028,350,-0.8099349320097812
"(1,)",identity,100,800,-0.8230437369813028,350,-0.8099349320097812
"(3,)",identity,100,200,-0.8165382971037918,227,-0.8037542270020109
"(3,)",identity,100,400,-0.8165382971037918,227,-0.8037542270020109
"(3,)",identity,100,800,-0.8165382971037918,227,-0.8037542270020109
"(5,)",identity,100,200,-0.8158627746161654,204,-0.8032882800712942
"(5,)",identity,100,400,-0.8158627746161654,204,-0.8032882800712942
"(5,)",identity,100,800,-0.8158627746161654,204,-0.8032882800712942
"(7,)",identity,100,200,-0.8202219064319772,316,-0.8036193686358055
"(7,)",identity,100,400,-0.8202219064319772,316,-0.8036193686358055
"(7,)",identity,100,800,-0.8202219064319772,316,-0.8036193686358055
"(9,)",identity,100,200,-0.8170611412943712,235,-0.8031961730912529
"(9,)",identity,100,400,-0.8170611412943712,235,-0.8031961730912529
"(9,)",identity,100,800,-0.8170611412943712,235,-0.8031961730912529
"(11,)",identity,100,200,-0.8183681919515673,279,-0.8034810287951434
"(11,)",identity,100,400,-0.8183681919515673,279,-0.8034810287951434
"(11,)",identity,100,800,-0.8183681919515673,279,-0.8034810287951434
"(13,)",identity,100,200,-0.818368638096733,282,-0.8033863069418107
"(13,)",identity,100,400,-0.818368638096733,282,-0.8033863069418107
"(13,)",identity,100,800,-0.818368638096733,282,-0.8033863069418107
"(15,)",identity,100,200,-0.8204696963003855,319,-0.8036524472099931
"(15,)",identity,100,400,-0.8204696963003855,319,-0.8036524472099931
"(15,)",identity,100,800,-0.8204696963003855,319,-0.8036524472099931
"(17,)",identity,100,200,-0.8205347771276289,323,-0.8034721898571764
"(17,)",identity,100,400,-0.8205347771276289,323,-0.8034721898571764
"(17,)",identity,100,800,-0.8205347771276289,323,-0.8034721898571764
"(19,)",identity,100,200,-0.8173215507780206,246,-0.8033759919516023
"(19,)",identity,100,400,-0.8173215507780206,246,-0.8033759919516023
"(19,)",identity,100,800,-0.8173215507780206,246,-0.8033759919516023
"(21,)",identity,100,200,-0.8160382466499415,213,-0.8032708859980445
"(21,)",identity,100,400,-0.8160382466499415,213,-0.8032708859980445
"(21,)",identity,100,800,-0.8160382466499415,213,-0.8032708859980445
"(1,)",identity,200,200,-0.8490293341392372,391,-0.8403231805017203
"(1,)",identity,200,400,-0.8286552633050617,375,-0.8173302226431958
"(1,)",identity,200,800,-0.8286552633050617,375,-0.8173302226431958
